"Registrar Name","IANA Number","Country/Territory","Public Contact","Link"
"A+ Hosting, Inc. DBA ServerPoint.com",4325,"United States of America","Pedro Nieto Cruz +1 7022043296 peter@serverpoint.com","http://serverpoint.com"
"AB RIKTAD",1435,"Sweden","Yngve Josefsson +46 522777999 info@itconnect.se","http://www.riktad.com"
"Abansys & Hostytec, S.L.",1396,"Spain","Abansys & Hostytec, S.L. +34 902999019 icann@abansysandhostytec.com","http://www.abansys.com"
"Abbey Road Domains LLC",3796,"United States of America","Customer Service +1 8886429675 customerservice@newfold.com","http://www.networksolutions.com"
"Abion AB",73,"Sweden","Customer Service +46 317202000 support@abion.com","https://abion.com/"
"Above.com Pty Ltd.",940,"Australia","David Warmuz +61 395897946 hostmaster@above.com","http://www.above.com"
"AC Webconnecting N.V. DBA domain.cam",3785,"Curaçao","Andrei Dumitriu +40 724375370 andrei@acwebconnecting.com","http://www.domain.cam"
"AccentDomains LLC",1613,"United States of America","Andrew Reberry +1 3038930547 support@namebright.com","http://www.namebright.com"
"Access Japan Co, Ltd. dba REGne (www.regne.net)",3854,"Japan","Customer Service +81 5031451230 info@access-reg.com","https://www.regne.net"
"Acens Technologies, S.L.U.",140,"Spain","Cecilia Moreano +34 00 34 900103293 dominios@acens.com","http://www.acens.com"
"Aceville Pte. Ltd.",3858,"Singapore","Lu Sijia +86 18910162442 linasjlu@tencent.com","https://www.dnspod.com"
"Aconcagua Domains LLC",3797,"United States of America","Customer Service +1 8886429675 customerservice@newfold.com","http://www.networksolutions.com"
"AcquiredNames LLC",1677,"United States of America","Andrew Reberry +1 3038930547 support@namebright.com","http://www.namebright.com"
"Active Market Domains LLC",3798,"United States of America","Customer Service +1 8886429675 customerservice@newfold.com","http://www.networksolutions.com"
"Active.Domains Limited Liability Company",3866,"Russian Federation","Ilya Krukover +7 4012971202 support@active.domains","https://active.domains/"
"Ad Valorem Domains, LLC",2329,"United States of America","Customer Service +1 8886429675 customerservice@newfold.com","http://www.networksolutions.com"
